80000000	0.0555	0.00002166
90000000	0.0507	0.00001943
100000000	0.04681	0.00001762
110000000	0.04359	0.00001614
120000000	0.04089	0.00001489
130000000	0.03858	0.00001382
140000000	0.03659	0.0000129
150000000	0.03485	0.0000121
160000000	0.03332	0.0000114
170000000	0.03197	0.00001078
180000000	0.03076	0.00001022
200000000	0.02869	0.000009267
225000000	0.02661	0.000008306
250000000	0.02494	0.000007531
275000000	0.02357	0.000006892
300000000	0.02242	0.000006356
325000000	0.02145	0.000005899
350000000	0.02062	0.000005506
375000000	0.01991	0.000005163
400000000	0.01928	0.000004861
450000000	0.01824	0.000004355
500000000	0.01742	0.000003948
550000000	0.01675	0.000003611
600000000	0.01621	0.00000333
650000000	0.01575	0.00000309
700000000	0.01537	0.000002883
800000000	0.01477	0.000002544
900000000	0.01432	0.000002279
1000000000	0.01399	0.000002065
1100000000	0.01373	0.000001888
1200000000	0.01352	0.000001741
1300000000	0.01337	0.000001615
1400000000	0.01324	0.000001506
1500000000	0.01314	0.000001412
1600000000	0.01307	0.000001329
1700000000	0.01301	0.000001256
1800000000	0.01296	0.00000119
2000000000	0.0129	0.000001078
2250000000	0.01286	0.000000965
2500000000	0.01286	0.0000008741
2750000000	0.01288	0.0000007991
3000000000	0.01292	0.0000007364
3250000000	0.01296	0.0000006829
3500000000	0.01301	0.0000006369
3750000000	0.01306	0.0000005969
4000000000	0.01312	0.0000005617
4500000000	0.01324	0.0000005027
5000000000	0.01335	0.0000004552
5500000000	0.01347	0.0000004161
6000000000	0.01359	0.0000003833
6500000000	0.0137	0.0000003555
7000000000	0.01381	0.0000003315
8000000000	0.01401	0.0000002922
9000000000	0.0142	0.0000002615
10000000000	0.01437	0.0000002367
