80000000	0.03041	0.00002201
90000000	0.02775	0.00001973
100000000	0.02559	0.0000179
110000000	0.02381	0.00001638
120000000	0.02232	0.00001511
130000000	0.02104	0.00001403
140000000	0.01994	0.0000131
150000000	0.01899	0.00001228
160000000	0.01814	0.00001157
170000000	0.0174	0.00001094
180000000	0.01673	0.00001037
200000000	0.0156	0.000009401
225000000	0.01445	0.000008425
250000000	0.01353	0.000007637
275000000	0.01278	0.000006988
300000000	0.01215	0.000006444
325000000	0.01162	0.00000598
350000000	0.01117	0.000005581
375000000	0.01077	0.000005232
400000000	0.01043	0.000004926
450000000	0.009858	0.000004413
500000000	0.009407	0.000003999
550000000	0.009042	0.000003658
600000000	0.008742	0.000003372
650000000	0.008493	0.000003129
700000000	0.008283	0.000002919
800000000	0.007951	0.000002576
900000000	0.007704	0.000002307
1000000000	0.007517	0.00000209
1100000000	0.007372	0.000001911
1200000000	0.007258	0.000001762
1300000000	0.007169	0.000001634
1400000000	0.007098	0.000001524
1500000000	0.007042	0.000001429
1600000000	0.006997	0.000001345
1700000000	0.006961	0.00000127
1800000000	0.006933	0.000001204
2000000000	0.006895	0.00000109
2250000000	0.006871	0.0000009759
2500000000	0.006864	0.0000008838
2750000000	0.00687	0.000000808
3000000000	0.006883	0.0000007444
3250000000	0.006901	0.0000006904
3500000000	0.006924	0.0000006438
3750000000	0.006948	0.0000006033
4000000000	0.006975	0.0000005677
4500000000	0.007031	0.000000508
5000000000	0.007088	0.00000046
5500000000	0.007145	0.0000004204
6000000000	0.007201	0.0000003873
6500000000	0.007256	0.0000003591
7000000000	0.007309	0.0000003348
8000000000	0.007409	0.0000002951
9000000000	0.007503	0.0000002641
10000000000	0.007589	0.000000239
